name,img_url,region,dday,applicants,지원금,모집상태,collected_at
"고창 성송별밤캠프, 별이 빛나는 성송에서 1박2일",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2735%2F1752389984645.jpg&w=3840&q=60,전북 고창군,,15.0,* 본문 지원항목 참고,,2025-07-21 17:22:40
전북 익산 리스테이 무료 숙박체험 이벤트,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2742%2F1752481603230.jpg&w=3840&q=60,전북 익산시,,484.0,2인 무료숙박권,,2025-07-21 17:22:40
2025 천안 생존수영 가족캠프 꿈띄움 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2752%2F1752579098705.jpg&w=3840&q=60,충남 천안시,,32.0,전액 지원,,2025-07-21 17:22:40
서울 한강버스 시민체험단 모집 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2600%2F1750768949560.jpeg&w=3840&q=60,서울,,2175.0,한강버스 무료 체험,,2025-07-21 17:22:40
제주 밤하늘 청소년 천문 캠프 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2750%2F1752575714250.png&w=3840&q=60,제주 제주시,,,체험 지원,,2025-07-21 17:22:40
"가평 관광하고 여행지원금 받기 - 더시즌즈 가평관광 체험기 'Summer Camping, 가평'",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2698%2F1752079169647.jpg&w=3840&q=60,경기 가평군,,158.0,"￦330,000/지원",,2025-07-21 17:22:40
2025 구리시 숏폼 영상 공모전 '구리에 빠지다',https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2726%2F1752328014760.jpg&w=3840&q=60,경기 구리시,,,"￦1,000,000/지원",,2025-07-21 17:22:40
조치원 여행 후기 이벤트 (청년 기업 방문),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2724%2F1752564220037.jpg&w=3840&q=60,세종 세종시,,5.0,"￦100,000/지원",,2025-07-21 17:22:40
"대전 숲체원에서 느끼는 진짜 힐링, 1박2일 청춘숲캉스 (4회차)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2689%2F1751962036444.jpg&w=3840&q=60,대전 유성구,,167.0,전액 지원,,2025-07-21 17:22:40
"2025 보보의 모험 : 광복 80주년, 독립운동 영웅을 찾아서 (완도, 나주)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2700%2F1752024844313.jpg&w=3840&q=60,전남,,30.0,전액 지원,,2025-07-21 17:22:40
